datetime,open,high,low,close,volume
2024-09-02,16.66,16.87,16.33,16.34,416333.13
2024-09-03,16.26,16.86,16.26,16.75,444621.71
2024-09-04,16.63,16.82,16.45,16.61,403033.1
2024-09-05,16.58,16.72,16.33,16.49,308861.07
2024-09-06,16.49,16.49,15.91,15.96,316080.65
2024-09-09,15.8,16.13,15.75,16.0,211104.3
2024-09-10,16.04,16.08,15.58,15.94,239092.59
2024-09-11,16.02,16.35,15.94,16.32,400234.72
2024-09-12,16.3,16.3,15.89,15.91,318979.2
2024-09-13,15.9,15.95,15.53,15.54,274906.56
2024-09-18,15.5,15.51,14.95,15.26,285727.29
2024-09-19,15.44,15.77,15.15,15.48,267379.2
2024-09-20,15.5,15.67,15.25,15.44,187361.19
2024-09-23,15.52,15.75,15.35,15.5,188616.48
2024-09-24,15.56,16.08,15.2,16.05,414386.17
2024-09-25,16.26,17.29,16.21,16.51,627050.73
2024-09-26,16.54,16.9,16.37,16.89,468930.62
2024-09-27,17.28,18.79,17.14,18.37,867151.36
2024-09-30,19.55,22.0,19.13,21.96,1367217.65
2024-10-08,26.35,26.35,23.8,26.29,1783636.87
2024-10-09,24.88,24.89,22.05,22.06,1475491.57
2024-10-10,22.7,23.65,22.3,22.31,920600.82
2024-10-11,22.08,22.38,20.37,20.69,844375.39
2024-10-14,21.08,21.62,20.69,21.52,719708.69
2024-10-15,21.5,22.42,21.18,21.62,836810.35
2024-10-16,21.08,21.68,20.97,21.19,463740.59
2024-10-17,21.3,21.67,21.11,21.12,462101.2
2024-10-18,21.07,23.28,20.98,22.41,907096.23
2024-10-21,22.82,23.47,22.45,22.72,906189.21
2024-10-22,22.67,23.3,22.38,22.93,693355.76
2024-10-23,22.8,23.43,22.41,23.09,713430.78
2024-10-24,23.09,23.09,22.2,22.37,517894.97
2024-10-25,22.66,23.8,22.48,23.4,1017584.34
2024-10-28,23.5,23.5,22.82,23.26,580757.8
2024-10-29,23.36,23.88,23.1,23.34,693248.0
2024-10-30,23.35,23.36,22.43,22.55,724706.56
2024-10-31,22.5,23.0,22.25,22.62,601520.04
2024-11-01,22.55,22.63,21.57,21.7,592398.23
2024-11-04,21.71,22.63,21.71,22.23,397470.13
2024-11-05,22.3,23.26,22.06,23.05,681513.8
2024-11-06,23.31,24.45,23.21,23.4,1006100.79
2024-11-07,23.63,23.8,23.01,23.77,680411.08
2024-11-08,24.26,25.0,23.5,23.6,909536.59
2024-11-11,23.37,25.26,22.88,25.02,1087510.04
2024-11-12,25.74,26.28,24.67,25.04,1249918.14
2024-11-13,24.78,25.31,23.94,24.61,719222.99
2024-11-14,25.01,25.18,24.19,24.26,671433.34
2024-11-15,24.3,25.1,23.99,23.99,731297.91
2024-11-18,24.09,24.18,23.0,23.43,651395.03
2024-11-19,23.6,24.43,23.0,24.24,589716.5
2024-11-20,24.1,24.35,23.81,24.15,456822.96
2024-11-21,23.9,24.07,23.42,23.77,362360.25
2024-11-22,23.75,24.15,22.71,22.76,446465.73
2024-11-25,22.99,23.54,22.71,23.27,436869.5
2024-11-26,23.3,23.3,22.33,22.4,420601.79
2024-11-27,22.33,23.2,21.9,23.18,423535.1
2024-11-28,23.16,23.32,22.72,22.8,264974.44
2024-11-29,22.66,23.3,22.44,22.86,389563.78
2024-12-02,22.81,24.0,22.51,23.89,600749.95
2024-12-03,24.01,24.15,23.16,23.65,449967.79
2024-12-04,23.42,23.58,23.11,23.24,261784.88
2024-12-05,23.16,23.37,23.06,23.23,200123.04
2024-12-06,23.2,23.89,23.03,23.65,391798.16
2024-12-09,23.65,24.11,23.23,23.47,286326.95
2024-12-10,24.28,24.5,23.41,23.44,407165.03
2024-12-11,23.41,23.8,23.2,23.51,259198.17
2024-12-12,23.43,23.71,23.1,23.63,276586.94
