datetime,open,high,low,close,volume
2024-09-02,228.4,231.95,218.8,218.89,20960.6
2024-09-03,218.99,231.45,217.12,230.0,24564.05
2024-09-04,226.09,237.99,226.07,232.8,21917.35
2024-09-05,233.0,239.59,230.64,238.98,14408.54
2024-09-06,238.95,244.48,233.48,233.5,16053.19
2024-09-09,233.0,236.34,224.11,229.88,21086.63
2024-09-10,226.8,231.5,226.59,227.52,10468.21
2024-09-11,227.6,237.88,225.0,237.44,17989.1
2024-09-12,238.0,242.08,234.25,238.3,16254.01
2024-09-13,237.28,244.0,235.58,237.03,21482.66
2024-09-18,236.44,247.46,234.24,245.17,14958.44
2024-09-19,245.0,250.88,237.33,238.2,25187.29
2024-09-20,236.99,238.29,230.5,236.36,22222.69
2024-09-23,237.0,243.88,231.5,233.69,21489.62
2024-09-24,235.3,242.0,226.77,238.88,30796.26
2024-09-25,240.0,241.88,217.01,217.98,67519.38
2024-09-26,217.8,220.66,207.14,219.81,52586.26
2024-09-27,223.95,239.88,220.14,231.6,40394.28
2024-09-30,247.83,277.92,242.73,277.92,89510.56
2024-10-08,333.5,333.5,282.3,315.0,146523.43
2024-10-09,300.0,300.0,258.79,268.38,116790.69
2024-10-10,273.0,280.93,262.13,267.17,61813.91
2024-10-11,270.0,270.0,251.3,251.9,43019.84
2024-10-14,255.0,265.98,248.51,262.39,47298.46
2024-10-15,262.0,267.0,256.37,256.37,40737.4
2024-10-16,250.78,254.85,247.55,248.54,36017.11
2024-10-17,250.0,259.5,244.0,244.6,39760.9
2024-10-18,247.47,273.98,246.0,263.8,80396.68
2024-10-21,269.3,279.98,265.11,276.0,71105.95
2024-10-22,278.63,278.73,268.0,268.49,46223.36
2024-10-23,268.5,270.07,263.5,264.49,27383.8
2024-10-24,261.02,263.96,259.21,260.58,19527.72
2024-10-25,259.0,269.95,257.0,266.01,32136.38
2024-10-28,266.7,280.59,264.0,276.79,41492.73
2024-10-29,276.81,282.57,269.52,270.0,42211.46
2024-10-30,268.98,276.33,263.41,264.79,31963.23
2024-10-31,238.8,240.0,211.83,235.6,143374.64
2024-11-01,225.25,230.49,223.72,224.44,62482.64
2024-11-04,226.42,237.98,224.0,232.65,42786.95
2024-11-05,232.65,236.88,226.22,233.22,49239.65
2024-11-06,233.18,240.99,226.0,228.27,52562.76
2024-11-07,223.3,227.0,218.42,220.0,94417.97
2024-11-08,222.14,225.54,216.55,218.91,65984.72
2024-11-11,216.51,223.4,214.5,223.0,63575.89
2024-11-12,226.0,226.5,222.0,223.08,45719.71
2024-11-13,222.0,232.0,221.81,230.96,49514.34
2024-11-14,231.0,232.96,226.6,226.9,33842.91
2024-11-15,224.0,226.0,218.88,218.95,28951.8
2024-11-18,220.0,220.99,214.23,217.78,22049.54
2024-11-19,217.5,219.95,213.66,218.72,25193.74
2024-11-20,218.0,218.0,215.3,215.93,22994.45
2024-11-21,215.97,216.11,212.66,213.07,24878.82
2024-11-22,213.25,215.34,202.58,203.52,34056.26
